version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
cpus=4
              nc-26365 [001] 211673.500438: funcgraph_entry:        0.048 us   |          tty_paranoia_check();
              nc-26365 [001] 211673.500439: funcgraph_entry:                   |          tty_ldisc_ref_wait() {
              nc-26365 [001] 211673.500439: funcgraph_entry:                   |            ldsem_down_read() {
              nc-26365 [001] 211673.500439: funcgraph_entry:        0.045 us   |              _cond_resched();
              nc-26365 [001] 211673.500440: funcgraph_exit:         0.449 us   |            }
              nc-26365 [001] 211673.500440: funcgraph_exit:         0.844 us   |          }
              nc-26365 [001] 211673.500440: funcgraph_entry:                   |          n_tty_read() {
              nc-26365 [001] 211673.500441: funcgraph_entry:        0.064 us   |            _raw_spin_lock_irq();
              nc-26365 [001] 211673.500441: funcgraph_entry:                   |            mutex_lock_interruptible() {
              nc-26365 [001] 211673.500441: funcgraph_entry:        0.040 us   |              _cond_resched();
              nc-26365 [001] 211673.500442: funcgraph_exit:         0.512 us   |            }
              nc-26365 [001] 211673.500442: funcgraph_entry:                   |            down_read() {
              nc-26365 [001] 211673.500442: funcgraph_entry:        0.049 us   |              _cond_resched();
              nc-26365 [001] 211673.500443: funcgraph_exit:         0.479 us   |            }
              nc-26365 [001] 211673.500443: funcgraph_entry:                   |            add_wait_queue() {
              nc-26365 [001] 211673.500443: funcgraph_entry:        0.056 us   |              _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500444: funcgraph_entry:        0.063 us   |              _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500444: funcgraph_exit:         0.949 us   |            }
              nc-26365 [001] 211673.500445: funcgraph_entry:                   |            tty_audit_add_data() {
              nc-26365 [001] 211673.500445: funcgraph_entry:        0.207 us   |              _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500445: funcgraph_entry:        0.059 us   |              _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500446: funcgraph_entry:        0.039 us   |              _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500446: funcgraph_entry:        0.044 us   |              _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500447: funcgraph_exit:         1.928 us   |            }
              nc-26365 [001] 211673.500447: funcgraph_entry:                   |            tty_audit_push() {
              nc-26365 [001] 211673.500447: funcgraph_entry:        0.059 us   |              _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500448: funcgraph_entry:        0.050 us   |              _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500448: funcgraph_exit:         0.833 us   |            }
              nc-26365 [001] 211673.500448: funcgraph_entry:        0.050 us   |            n_tty_kick_worker();
              nc-26365 [001] 211673.500449: funcgraph_entry:        0.055 us   |            n_tty_write_wakeup();
              nc-26365 [001] 211673.500449: funcgraph_entry:        0.041 us   |            n_tty_kick_worker();
              nc-26365 [001] 211673.500450: funcgraph_entry:        0.053 us   |            up_read();
              nc-26365 [001] 211673.500450: funcgraph_entry:                   |            remove_wait_queue() {
              nc-26365 [001] 211673.500450: funcgraph_entry:        0.045 us   |              _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500451: funcgraph_entry:        0.052 us   |              _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500451: funcgraph_exit:         0.779 us   |            }
              nc-26365 [001] 211673.500451: funcgraph_entry:        0.056 us   |            mutex_unlock();
              nc-26365 [001] 211673.500452: funcgraph_exit:       + 11.341 us  |          }
              nc-26365 [001] 211673.500452: funcgraph_entry:                   |          tty_ldisc_deref() {
              nc-26365 [001] 211673.500452: funcgraph_entry:        0.053 us   |            ldsem_up_read();
              nc-26365 [001] 211673.500453: funcgraph_exit:         0.433 us   |          }
              nc-26365 [001] 211673.500453: funcgraph_entry:        0.038 us   |          get_seconds();
              nc-26365 [001] 211673.500453: funcgraph_exit:       + 14.833 us  |        }
              nc-26365 [001] 211673.500453: funcgraph_exit:       + 15.292 us  |      }
              nc-26365 [001] 211673.500454: funcgraph_entry:        0.040 us   |      __fsnotify_parent();
              nc-26365 [001] 211673.500454: funcgraph_entry:        0.067 us   |      fsnotify();
              nc-26365 [001] 211673.500455: funcgraph_exit:       + 19.579 us  |    }
              nc-26365 [001] 211673.500455: funcgraph_exit:       + 20.919 us  |  }
              nc-26365 [001] 211673.500456: funcgraph_entry:                   |  SyS_write() {
              nc-26365 [001] 211673.500456: funcgraph_entry:                   |    __fdget_pos() {
              nc-26365 [001] 211673.500456: funcgraph_entry:        0.066 us   |      __fget_light();
              nc-26365 [001] 211673.500456: funcgraph_exit:         0.491 us   |    }
              nc-26365 [001] 211673.500457: funcgraph_entry:                   |    vfs_write() {
              nc-26365 [001] 211673.500457: funcgraph_entry:                   |      rw_verify_area() {
              nc-26365 [001] 211673.500457: funcgraph_entry:        0.052 us   |        security_file_permission();
              nc-26365 [001] 211673.500458: funcgraph_exit:         0.520 us   |      }
              nc-26365 [001] 211673.500458: funcgraph_entry:                   |      __vfs_write() {
              nc-26365 [001] 211673.500458: funcgraph_entry:                   |        sock_write_iter() {
              nc-26365 [001] 211673.500458: funcgraph_entry:                   |          sock_sendmsg() {
              nc-26365 [001] 211673.500459: funcgraph_entry:        0.080 us   |            security_socket_sendmsg();
              nc-26365 [001] 211673.500459: funcgraph_entry:                   |            inet_sendmsg() {
              nc-26365 [001] 211673.500460: funcgraph_entry:                   |              tcp_sendmsg() {
              nc-26365 [001] 211673.500460: funcgraph_entry:                   |                lock_sock_nested() {
              nc-26365 [001] 211673.500461: funcgraph_entry:        0.056 us   |                  _cond_resched();
              nc-26365 [001] 211673.500461: funcgraph_entry:        0.143 us   |                  _raw_spin_lock_bh();
              nc-26365 [001] 211673.500462: funcgraph_entry:        0.080 us   |                  __local_bh_enable_ip();
              nc-26365 [001] 211673.500463: funcgraph_exit:         1.941 us   |                }
              nc-26365 [001] 211673.500463: funcgraph_entry:                   |                tcp_send_mss() {
              nc-26365 [001] 211673.500464: funcgraph_entry:                   |                  tcp_current_mss() {
